players,strategies,0.99 error,0.999 error,0.9999 error,0.99999 error
77,5,1.2128211145070111e-14,1.5796620688949342e-14,1.8641509722978136e-14,1.9090702728351103e-14
117,4,3.7976570829717935e-14,4.742876592577439e-14,5.282654816552062e-14,6.049618034362583e-14
180,4,4.757592265593957e-14,5.754492315641478e-14,7.022695561678089e-14,8.035044370763735e-14
148,2,2.6021149649668778e-14,4.185445689893548e-14,4.7286639889150937e-14,4.7286639889150937e-14
13,3,2.1556938583626788e-15,2.690305935236623e-15,3.1904269103767645e-15,3.414619071646483e-15
124,3,5.072429821157907e-14,6.414169322238386e-14,7.237757389974777e-14,7.311389435765779e-14
16,5,1.6688784006779028e-15,2.4950911839070173e-15,3.2965499272649935e-15,3.3933240101135437e-15
28,3,1.1143377079564184e-14,1.2782312825408046e-14,1.3915361427714479e-14,1.4026240801640491e-14
59,2,1.721351043969804e-14,2.1671511434675183e-14,2.2978336244806347e-14,2.308723831231728e-14
53,3,1.4600994746142083e-14,1.896427285898435e-14,2.2001466767288228e-14,2.3083506116499125e-14
69,3,5.1108427860506865e-15,7.553167174491216e-15,9.93420393749113e-15,1.1003355930763717e-14
