players,actions,size
2,4,1312
3,4,2400
4,4,4576
5,4,9120
6,4,18848
7,4,39904
8,4,85600
9,4,184608
10,4,398368
11,4,857952
12,4,1841888
13,4,3940000
14,4,8397472
2,5,2640
3,5,5880
4,5,13080
5,5,29800
6,5,70560
7,5,174200
8,5,446760
9,5,1183080
10,5,3216240
11,5,8932600
12,5,25245240
13,5,0
14,5,0
2,6,3504
3,6,8544
4,6,21024
5,6,52608
6,6,133776
7,6,344160
8,6,892416
9,6,2328960
10,6,6120432
11,6,16224096
12,6,43466976
13,6,0
14,6,0
