players,actions,batch_size,min,max,mean,median,std,trials
55,3,1,3.5941006e7,5.543246e7,4.4191189561403506e7,4.4322053e7,4.0334796421341267e6,114.0
56,3,1,3.8244779e7,6.6824994e7,4.4614775663716815e7,4.3820589e7,3.9313980044503626e6,113.0
57,3,1,4.0609988e7,5.398647e7,4.606320133027523e7,4.5427793e7,2.584802239658163e6,109.0
58,3,1,4.1204674e7,6.7454847e7,4.829064767307692e7,4.74241225e7,4.0361529995484957e6,104.0
59,3,1,4.2827979e7,6.7118951e7,4.936503714705882e7,4.825957e7,4.477537738765813e6,102.0
60,3,1,4.5597504e7,5.8243143e7,5.042428097e7,4.9606941e7,2.451583855375967e6,100.0
61,3,1,4.6268654e7,8.1604685e7,5.3591106457446806e7,5.1897034e7,6.206216770534254e6,94.0
62,3,1,4.87847e7,6.5959455e7,5.555502556043956e7,5.482544e7,4.079808017968003e6,91.0
63,3,1,5.1700782e7,8.8219162e7,5.564276531111111e7,5.4642042e7,4.304315649911219e6,90.0
64,3,1,5.1571217e7,6.924614e7,5.9113915435294114e7,5.8478978e7,3.925108758068987e6,85.0
65,3,1,5.0969446e7,7.195013e7,5.708606371590909e7,5.6913213e7,3.5976842801357303e6,88.0
66,3,1,5.5662775e7,7.9103428e7,5.900060716470588e7,5.8145578e7,3.129090924184439e6,85.0
67,3,1,5.3576454e7,7.1085373e7,5.992745051190476e7,5.9335851e7,3.223666881703929e6,84.0
68,3,1,5.6325013e7,7.94157e7,6.349290862025317e7,6.2556992e7,4.338342267230704e6,79.0
69,3,1,5.933765e7,9.108436e7,6.58883651948052e7,6.4747556e7,4.647662196072318e6,77.0
70,3,1,5.8573713e7,8.2036901e7,6.808219308108108e7,6.68975205e7,5.070487918416349e6,74.0
71,3,1,5.9252688e7,8.9151084e7,6.9618298875e7,6.800775e7,6.017505029143413e6,72.0
72,3,1,6.6672639e7,9.3401679e7,7.48217606119403e7,7.3718421e7,6.004321468101512e6,67.0
73,3,1,6.3925133e7,1.13826808e8,7.440935954411764e7,7.1807046e7,8.400613641456122e6,68.0
75,3,1,6.953474e7,9.3844656e7,7.79752633076923e7,7.6232238e7,4.879617189829584e6,65.0
74,3,1,6.8531809e7,8.4765211e7,7.538194273134328e7,7.4346077e7,4.062002180172432e6,67.0
76,3,1,7.1830459e7,9.9235529e7,7.854323353125e7,7.73983575e7,4.233979406805481e6,64.0
77,3,1,7.4216719e7,1.05659699e8,7.8686834125e7,7.7865959e7,4.25384934574748e6,64.0
78,3,1,7.4547055e7,1.00558984e8,8.37392161e7,8.17142605e7,6.541077525988277e6,60.0
79,3,1,7.7554647e7,1.53631689e8,8.527411333898304e7,8.2498533e7,1.1271991353837019e7,59.0
80,3,1,7.9318294e7,1.04068727e8,8.498452111864407e7,8.3902994e7,4.0006429551949264e6,59.0
81,3,1,8.234965e7,1.20611456e8,8.966483410714285e7,8.72501805e7,6.932712778145465e6,56.0
82,3,1,8.5342395e7,1.12055811e8,9.184190881818181e7,8.9686505e7,6.1317623820292e6,55.0
84,3,1,8.623273e7,1.2665436e8,9.824543033333333e7,9.6390908e7,9.955628402731396e6,51.0
83,3,1,8.4748418e7,1.08766308e8,8.960068639285715e7,8.91988185e7,3.804966009402544e6,56.0
85,3,1,8.7556425e7,1.20922649e8,9.317036842592593e7,9.225901e7,4.981194231284758e6,54.0
86,3,1,9.1534537e7,1.12729225e8,9.743259190384616e7,9.5652522e7,5.733646988423058e6,52.0
87,3,1,9.2080205e7,1.14305913e8,9.77648984423077e7,9.62057985e7,5.009079860821907e6,52.0
88,3,1,9.406066e7,1.27347297e8,9.994329258823529e7,9.7945835e7,6.1337928530063685e6,51.0
89,3,1,9.6494855e7,1.26665128e8,1.0647122344680852e8,1.05991901e8,6.433362486980191e6,47.0
90,3,1,9.7814727e7,1.37628851e8,1.0500242814583333e8,1.0313478e8,7.433683952559569e6,48.0
91,3,1,1.00585613e8,1.38003673e8,1.079219749361702e8,1.0654477e8,5.902481174297291e6,47.0
93,3,1,1.06100077e8,1.26721298e8,1.121320136e8,1.10715386e8,4.1488707499074005e6,45.0
92,3,1,1.04499507e8,1.41289858e8,1.1284337775555556e8,1.12134749e8,6.855931040160309e6,45.0
94,3,1,1.09332928e8,1.41481903e8,1.1538665354545455e8,1.13801302e8,6.061383098392759e6,44.0
95,3,1,1.09746828e8,1.25331289e8,1.1558609831818181e8,1.155873885e8,3.6214684719600216e6,44.0
96,3,1,1.10140173e8,1.46337197e8,1.2185863321428572e8,1.202696115e8,7.543123239402165e6,42.0
97,3,1,1.10347194e8,1.34734832e8,1.18930224e8,1.17515256e8,5.183925405503885e6,43.0
98,3,1,1.15580289e8,1.89781456e8,1.278686116e8,1.24514207e8,1.3167510420457343e7,40.0
99,3,1,1.18972807e8,1.67233363e8,1.3087892202564102e8,1.27147923e8,1.1159986784039792e7,39.0
100,3,1,1.22852018e8,2.27760456e8,1.3024431848717949e8,1.2689495e8,1.6424469921311919e7,39.0
101,3,1,1.24606553e8,1.46704143e8,1.3272218173684211e8,1.3042001e8,6.068200704618247e6,38.0
102,3,1,1.26685302e8,1.54829383e8,1.381188624864865e8,1.36995961e8,6.883269632599978e6,37.0
103,3,1,1.26754617e8,1.47042456e8,1.3417417813157895e8,1.33801101e8,4.6096280160605805e6,38.0
104,3,1,1.35276663e8,1.57497115e8,1.4600938385714287e8,1.45989885e8,5.605191423935594e6,35.0
105,3,1,1.34735873e8,1.54114269e8,1.4131079233333334e8,1.39778566e8,4.980410578054757e6,36.0
106,3,1,1.34257574e8,1.71478243e8,1.423436682777778e8,1.408620265e8,6.416106762030946e6,36.0
107,3,1,1.37980325e8,1.97800979e8,1.5235744193939394e8,1.4785837e8,1.424401088508066e7,33.0
108,3,1,1.42282545e8,1.78605713e8,1.601107545625e8,1.609788435e8,9.833089666545795e6,32.0
109,3,1,1.4452848e8,1.77884607e8,1.556140724848485e8,1.54035344e8,7.87457629187708e6,33.0
110,3,1,1.45064735e8,1.78091902e8,1.57152970625e8,1.539607385e8,8.441753197443372e6,32.0
111,3,1,1.46194611e8,1.91396638e8,1.571486645625e8,1.556902325e8,8.490115614515433e6,32.0
112,3,1,1.53634773e8,1.81030536e8,1.600203046875e8,1.590859335e8,5.895556139922908e6,32.0
113,3,1,1.58564706e8,2.0582007e8,1.7753279355172414e8,1.77127634e8,1.1940923861313242e7,29.0
114,3,1,1.59996505e8,1.87759042e8,1.6700165236666667e8,1.66030812e8,5.285575074226499e6,30.0
115,3,1,1.57983364e8,1.94507679e8,1.6763827456666666e8,1.64986959e8,8.105524839005944e6,30.0
116,3,1,1.62988783e8,2.17343341e8,1.7904312367857143e8,1.7743519e8,1.199530389984887e7,28.0
117,3,1,1.64303207e8,2.04690815e8,1.7417691862068966e8,1.71510639e8,8.291094075262105e6,29.0
118,3,1,1.68449103e8,1.88038847e8,1.744930534827586e8,1.73526129e8,4.730155716503185e6,29.0
119,3,1,1.73272719e8,1.95297394e8,1.7812357920689654e8,1.7671899e8,4.801993653004072e6,29.0
120,3,1,1.80680323e8,2.39355171e8,1.9451870419230768e8,1.925093605e8,1.1602980136850828e7,26.0
121,3,1,1.87800748e8,2.47491577e8,2.0423908468e8,2.02898359e8,1.2182719565502563e7,25.0
122,3,1,1.77677947e8,2.01555952e8,1.8597642507407406e8,1.85013774e8,4.939849241990861e6,27.0
123,3,1,1.83444606e8,2.32113387e8,1.9939252203846154e8,1.97550608e8,1.1163390346001936e7,26.0
124,3,1,2.04659087e8,2.38384008e8,2.213793477826087e8,2.20432173e8,9.555108375971776e6,23.0
125,3,1,1.8597892e8,2.28205921e8,1.966562671153846e8,1.95160329e8,8.086815783433335e6,26.0
126,3,1,1.92037034e8,2.27632286e8,2.0052635188e8,1.9896133e8,7.773289109394304e6,25.0
127,3,1,1.95035654e8,2.34027226e8,2.04313567e8,2.03563301e8,9.017977528468698e6,25.0
128,3,1,1.95222119e8,2.41286858e8,2.0534099512e8,2.0136836e8,1.005915098530135e7,25.0
2,4,1,1.071014e6,3.3811776e7,1.5498918905177792e6,1.43907e6,2.0650475440535792e6,3206.0
3,4,1,1.369849e6,4.0234255e7,2.0293762926332927e6,1.848874e6,2.4315731775065884e6,2457.0
4,4,1,1.702117e6,3.7094282e7,2.6441877846153844e6,2.443248e6,2.8215269784528585e6,1885.0
5,4,1,2.336106e6,4.053187e7,3.7101010908414e6,3.395798e6,3.28596030085532e6,1343.0
6,4,1,3.123735e6,3.6794506e7,5.370725663078579e6,4.833415e6,4.086750536614644e6,929.0
7,4,1,4.552646e6,2.5756153e7,5.694046595890411e6,5.139149e6,2.692134472282958e6,876.0
8,4,1,5.884733e6,2.5849981e7,7.05264627864215e6,6.418242e6,2.659299937204075e6,707.0
9,4,1,7.592231e6,2.4362309e7,8.823404109540636e6,8.123615e6,2.5582757510717027e6,566.0
10,4,1,9.416309e6,2.7808044e7,1.1120104425389756e7,1.0204349e7,2.659556716871231e6,449.0
11,4,1,1.1879375e7,3.1374026e7,1.399079000280112e7,1.2777834e7,3.3085269375763806e6,357.0
12,4,1,1.5045901e7,4.3244643e7,1.7687815275618374e7,1.6190845e7,3.9648397480458682e6,283.0
13,4,1,1.7711941e7,4.1023968e7,2.069224473140496e7,1.92731125e7,3.48547338703087e6,242.0
14,4,1,2.1146524e7,4.0310108e7,2.495456009950249e7,2.3562541e7,3.5862365354549214e6,201.0
15,4,1,2.6030536e7,4.3527301e7,3.0179625337349396e7,2.8737072e7,3.7826191995216687e6,166.0
16,4,1,2.9114688e7,4.5456179e7,3.358917430201342e7,3.2177388e7,3.4811122002019538e6,149.0
17,4,1,3.4588465e7,6.0065376e7,4.092325224390244e7,3.9435899e7,4.922692457594758e6,123.0
18,4,1,3.9801179e7,6.4231103e7,4.5462881263636366e7,4.43251525e7,4.713317104857859e6,110.0
19,4,1,4.5600084e7,6.1534186e7,5.125658722448979e7,5.15206865e7,3.6886242177355285e6,98.0
20,4,1,5.354278e7,6.858726e7,5.721264561363637e7,5.6820612e7,2.926565439281475e6,88.0
21,4,1,6.1151505e7,7.2872403e7,6.58996834868421e7,6.6360562e7,2.9235671443864303e6,76.0
22,4,1,6.8202526e7,8.5628801e7,7.340193673913044e7,7.3367942e7,3.2212098599601868e6,69.0
23,4,1,7.7321217e7,9.8132752e7,8.538354372881356e7,8.4747857e7,4.869674545520148e6,59.0
24,4,1,8.7409529e7,1.16122091e8,9.359785262962963e7,9.23912035e7,4.984099709526321e6,54.0
25,4,1,9.8600701e7,1.25868722e8,1.102771456521739e8,1.098113805e8,5.148856448596377e6,46.0
26,4,1,1.11134787e8,1.47857858e8,1.2201202573809524e8,1.21337913e8,8.588235090527698e6,42.0
27,4,1,1.22261436e8,1.77524085e8,1.3303136334210527e8,1.30469645e8,1.0011979787664179e7,38.0
28,4,1,1.40680596e8,1.83489388e8,1.545497231818182e8,1.52572049e8,1.1487616091647696e7,33.0
29,4,1,1.49178291e8,1.72760028e8,1.5953071878125e8,1.602007715e8,5.674104340269286e6,32.0
30,4,1,1.68132512e8,2.19078934e8,1.8327820335714287e8,1.805576025e8,1.1796984863447236e7,28.0
31,4,1,1.85158329e8,2.20763505e8,1.9666702669230768e8,1.940537705e8,1.0049151309694003e7,26.0
32,4,1,2.00106341e8,2.48384275e8,2.14430557625e8,2.117909185e8,1.1164615191476585e7,24.0
33,4,1,2.16012339e8,2.55965759e8,2.3054337963636363e8,2.28567569e8,8.471908876349328e6,22.0
34,4,1,2.39757852e8,3.10530241e8,2.5429880375e8,2.50850563e8,1.5509034452782042e7,20.0
35,4,1,2.61460151e8,3.03566313e8,2.855179252222222e8,2.868412585e8,1.1507578326707039e7,18.0
36,4,1,2.8048719e8,3.62143454e8,3.074532105294118e8,3.07134257e8,2.0336152082812e7,17.0
37,4,1,3.00439454e8,3.64858908e8,3.232808249375e8,3.232799215e8,1.5910644030445619e7,16.0
38,4,1,3.34086792e8,3.85633216e8,3.5660931173333335e8,3.55691875e8,1.6357298392554184e7,15.0
39,4,1,3.64843783e8,4.63965503e8,4.289107244166667e8,4.393661765e8,2.9678343971026875e7,12.0
40,4,1,3.76208332e8,4.710422e8,3.9924688938461536e8,3.9285758e8,2.3167022910235338e7,13.0
41,4,1,4.12296105e8,4.62475773e8,4.313802921666667e8,4.259485275e8,1.6401400878699727e7,12.0
42,4,1,4.86648524e8,5.2481039e8,5.084454021e8,5.100425655e8,1.1157932034813963e7,10.0
43,4,1,4.68406398e8,5.05276214e8,4.80424493e8,4.798611e8,1.0525360939160775e7,11.0
44,4,1,5.28508318e8,5.94557063e8,5.59967297e8,5.55455861e8,2.0600112888711896e7,9.0
45,4,1,5.51638744e8,6.28155538e8,5.851416547777778e8,5.79028011e8,2.6368049665964324e7,9.0
46,4,1,5.7704031e8,6.28730932e8,5.998239667777778e8,5.94416848e8,1.958459349512511e7,9.0
47,4,1,6.21801948e8,6.91593123e8,6.41083158875e8,6.347296085e8,2.283238986975926e7,8.0
48,4,1,6.90523539e8,7.81478862e8,7.30230413e8,7.29878109e8,3.2985763821668573e7,7.0
49,4,1,7.16721648e8,7.54123747e8,7.361818927142857e8,7.36402611e8,1.4245622945589308e7,7.0
50,4,1,7.24359138e8,8.93160299e8,7.909872211428572e8,7.84512198e8,5.8471772458290346e7,7.0
51,4,1,8.13492349e8,9.23665541e8,8.560566008333334e8,8.53904905e8,3.931305549755982e7,6.0
52,4,1,8.51878059e8,1.014967787e9,9.28139298e8,9.30522712e8,6.3978846352315195e7,6.0
53,4,1,9.87134053e8,1.039145326e9,1.0087923502e9,1.000243693e9,2.181180585474111e7,5.0
54,4,1,9.871617e8,1.122073131e9,1.044970892e9,1.025477534e9,5.1898825967985526e7,5.0
55,4,1,1.058822249e9,1.154333976e9,1.1023614102e9,1.100732882e9,4.236817207453689e7,5.0
56,4,1,1.121948164e9,1.286856207e9,1.185490351e9,1.164187833e9,6.5996091358572155e7,5.0
57,4,1,1.303993339e9,1.391401363e9,1.3540516425e9,1.360405934e9,4.415171643382523e7,4.0
58,4,1,1.258380286e9,1.329731348e9,1.29312176525e9,1.2921877135e9,2.915346248961946e7,4.0
59,4,1,1.290987491e9,1.391791831e9,1.3294869595e9,1.317584258e9,4.827364599149898e7,4.0
60,4,1,1.325736862e9,1.39157105e9,1.35805078975e9,1.3574476235e9,3.0723036468757514e7,4.0
61,4,1,1.451633326e9,1.567336687e9,1.495021629e9,1.4805582515e9,5.191617124057322e7,4.0
63,4,1,1.742057424e9,1.787422684e9,1.770630078e9,1.782410126e9,2.487124548305991e7,3.0
62,4,1,1.489859777e9,1.617582821e9,1.53989068925e9,1.5260600795e9,5.918102659213416e7,4.0
64,4,1,1.68900491e9,1.753196401e9,1.7305778773333333e9,1.749532321e9,3.60498277421044e7,3.0
65,4,1,1.818450648e9,1.918714906e9,1.864492989e9,1.856313413e9,5.063012399478667e7,3.0
66,4,1,1.983285617e9,2.148280065e9,2.049716895e9,2.017585003e9,8.706397550267805e7,3.0
67,4,1,1.961671745e9,2.0222601e9,1.9972066163333333e9,2.007688004e9,3.162486056832062e7,3.0
68,4,1,2.283748921e9,2.593348287e9,2.40907864e9,2.350138712e9,1.629980926004485e8,3.0
69,4,1,2.147025536e9,2.475533163e9,2.278505089e9,2.212956568e9,1.7378656939838117e8,3.0
70,4,1,2.305851067e9,2.349253871e9,2.3231231173333335e9,2.314264414e9,2.3017565408327013e7,3.0
71,4,1,2.293166588e9,2.366669395e9,2.3408453983333335e9,2.362700212e9,4.133872663161448e7,3.0
72,4,1,2.451703222e9,2.482541193e9,2.4686175923333335e9,2.471608362e9,1.5635013311427027e7,3.0
73,4,1,2.483671075e9,2.576198299e9,2.529934687e9,2.529934687e9,6.542662753476667e7,2.0
74,4,1,2.585304962e9,2.678933741e9,2.6321193515e9,2.6321193515e9,6.620554454511662e7,2.0
75,4,1,2.817613257e9,3.007667292e9,2.9126402745e9,2.9126402745e9,1.3438849694036543e8,2.0
76,4,1,3.122221939e9,3.198742668e9,3.1604823035e9,3.1604823035e9,5.41083263772381e7,2.0
77,4,1,3.233838916e9,3.252757005e9,3.2432979605e9,3.2432979605e9,1.3377109018990632e7,2.0
78,4,1,3.337955952e9,3.349125012e9,3.343540482e9,3.343540482e9,7.89771806547942e6,2.0
79,4,1,3.197792945e9,3.223746479e9,3.210769712e9,3.210769712e9,1.8351919887155622e7,2.0
80,4,1,3.501786565e9,3.660986627e9,3.581386596e9,3.581386596e9,1.125714434055188e8,2.0
81,4,1,3.539620773e9,3.568082291e9,3.553851532e9,3.553851532e9,2.0125332380662985e7,2.0
82,4,1,3.711880634e9,3.72531254e9,3.718596587e9,3.718596587e9,9.497791816860275e6,2.0
83,4,1,3.952702505e9,4.038257811e9,3.995480158e9,3.995480158e9,6.049673703909012e7,2.0
84,4,1,4.197688737e9,4.230515144e9,4.2141019405e9,4.2141019405e9,2.321177499168955e7,2.0
85,4,1,4.298797871e9,4.335832382e9,4.3173151265e9,4.3173151265e9,2.6187353866027787e7,2.0
86,4,1,4.373647309e9,4.498796903e9,4.436222106e9,4.436222106e9,8.849412658014326e7,2.0
87,4,1,4.389626628e9,4.5348519e9,4.462239264e9,4.462239264e9,1.0268977463086085e8,2.0
88,4,1,4.663962361e9,4.687317347e9,4.675639854e9,4.675639854e9,1.651446897511688e7,2.0
89,4,1,4.793449178e9,4.81319645e9,4.803322814e9,4.803322814e9,1.3963429941135237e7,2.0
90,4,1,5.220895458e9,5.220895458e9,5.220895458e9,5.220895458e9,NaN,1.0
91,4,1,5.561491047e9,5.561491047e9,5.561491047e9,5.561491047e9,NaN,1.0
92,4,1,5.296620766e9,5.296620766e9,5.296620766e9,5.296620766e9,NaN,1.0
93,4,1,5.928272542e9,5.928272542e9,5.928272542e9,5.928272542e9,NaN,1.0
94,4,1,5.706512825e9,5.706512825e9,5.706512825e9,5.706512825e9,NaN,1.0
95,4,1,5.96210802e9,5.96210802e9,5.96210802e9,5.96210802e9,NaN,1.0
96,4,1,6.484691923e9,6.484691923e9,6.484691923e9,6.484691923e9,NaN,1.0
97,4,1,6.346674566e9,6.346674566e9,6.346674566e9,6.346674566e9,NaN,1.0
98,4,1,6.570571681e9,6.570571681e9,6.570571681e9,6.570571681e9,NaN,1.0
99,4,1,7.623990516e9,7.623990516e9,7.623990516e9,7.623990516e9,NaN,1.0
100,4,1,6.924985633e9,6.924985633e9,6.924985633e9,6.924985633e9,NaN,1.0
101,4,1,7.251117185e9,7.251117185e9,7.251117185e9,7.251117185e9,NaN,1.0
102,4,1,7.682811437e9,7.682811437e9,7.682811437e9,7.682811437e9,NaN,1.0
103,4,1,8.016784228e9,8.016784228e9,8.016784228e9,8.016784228e9,NaN,1.0
104,4,1,8.009264308e9,8.009264308e9,8.009264308e9,8.009264308e9,NaN,1.0
105,4,1,9.513229388e9,9.513229388e9,9.513229388e9,9.513229388e9,NaN,1.0
106,4,1,8.314887055e9,8.314887055e9,8.314887055e9,8.314887055e9,NaN,1.0
107,4,1,9.759904799e9,9.759904799e9,9.759904799e9,9.759904799e9,NaN,1.0
108,4,1,9.161222403e9,9.161222403e9,9.161222403e9,9.161222403e9,NaN,1.0
109,4,1,9.27757133e9,9.27757133e9,9.27757133e9,9.27757133e9,NaN,1.0
110,4,1,9.490788897e9,9.490788897e9,9.490788897e9,9.490788897e9,NaN,1.0
111,4,1,1.0280881131e10,1.0280881131e10,1.0280881131e10,1.0280881131e10,NaN,1.0
112,4,1,9.582978552e9,9.582978552e9,9.582978552e9,9.582978552e9,NaN,1.0
113,4,1,1.0148848224e10,1.0148848224e10,1.0148848224e10,1.0148848224e10,NaN,1.0
114,4,1,1.1347609376e10,1.1347609376e10,1.1347609376e10,1.1347609376e10,NaN,1.0
115,4,1,1.0596618961e10,1.0596618961e10,1.0596618961e10,1.0596618961e10,NaN,1.0
116,4,1,1.2415606328e10,1.2415606328e10,1.2415606328e10,1.2415606328e10,NaN,1.0
117,4,1,1.1399681225e10,1.1399681225e10,1.1399681225e10,1.1399681225e10,NaN,1.0
118,4,1,1.1592471809e10,1.1592471809e10,1.1592471809e10,1.1592471809e10,NaN,1.0
119,4,1,1.306287942e10,1.306287942e10,1.306287942e10,1.306287942e10,NaN,1.0
120,4,1,1.2598935394e10,1.2598935394e10,1.2598935394e10,1.2598935394e10,NaN,1.0
121,4,1,1.3091770104e10,1.3091770104e10,1.3091770104e10,1.3091770104e10,NaN,1.0
122,4,1,1.3392407195e10,1.3392407195e10,1.3392407195e10,1.3392407195e10,NaN,1.0
123,4,1,1.4650567966e10,1.4650567966e10,1.4650567966e10,1.4650567966e10,NaN,1.0
124,4,1,1.3958123484e10,1.3958123484e10,1.3958123484e10,1.3958123484e10,NaN,1.0
125,4,1,1.4229915097e10,1.4229915097e10,1.4229915097e10,1.4229915097e10,NaN,1.0
126,4,1,1.5770068808e10,1.5770068808e10,1.5770068808e10,1.5770068808e10,NaN,1.0
127,4,1,1.4296064795e10,1.4296064795e10,1.4296064795e10,1.4296064795e10,NaN,1.0
2,5,1,1.210541e6,4.1877131e7,1.844425016284234e6,1.655303e6,2.5660889837738997e6,2702.0
3,5,1,1.851084e6,3.9968329e7,2.768500217028381e6,2.550578e6,2.8681677465967266e6,1797.0
4,5,1,2.889469e6,4.2344306e7,4.563030111824014e6,4.181754e6,3.8447359588644e6,1091.0
5,5,1,5.063565e6,3.712113e7,6.157691230864198e6,5.5944635e6,2.8540278063642997e6,810.0
128,4,1,1.314049758e10,1.314049758e10,1.314049758e10,1.314049758e10,NaN,1.0
6,5,1,7.825912e6,4.4238842e7,9.282437657992564e6,8.507167e6,3.240986015781725e6,538.0
7,5,1,1.1762543e7,2.4338306e7,1.3357889946524065e7,1.2517122e7,2.4800381105658826e6,374.0
8,5,1,1.768327e7,3.6605705e7,2.024764890688259e7,1.8994021e7,3.236904833114915e6,247.0
9,5,1,2.4957197e7,4.0943846e7,2.8810467281609196e7,2.72082185e7,3.7323431551572457e6,174.0
10,5,1,3.4826909e7,6.4138778e7,3.85955156e7,3.7207164e7,3.868601672418697e6,130.0
11,5,1,4.6985813e7,6.5420664e7,5.2235185197916664e7,5.1419028e7,3.598891690327488e6,96.0
