players,strategies,max_error
37,2,2.742800123486623e-13
37,3,4.2720726952783987e-13
37,4,2.3504297027327902e-12
37,5,6.774276979267618e-13
37,6,4.0657235778335966e-13
37,7,8.506711290402857e-13
37,8,1.1139815532105607e-12
37,9,NaN
37,10,NaN
38,2,4.5061505942511074e-13
38,3,1.784119446211854e-13
38,4,5.683485122499299e-13
38,5,4.3936651938602236e-13
38,6,2.6863764604948966e-13
38,7,1.2790059039250476e-12
38,8,2.495558583732844e-12
38,9,NaN
38,10,NaN
39,2,1.160196439897707e-13
39,3,9.909090753900139e-12
39,4,1.8337368918544072e-12
39,5,9.045605569735343e-13
39,6,2.0336211140068793e-12
39,7,7.51059951490622e-12
39,8,NaN
39,9,NaN
39,10,NaN
40,2,1.6583145051041228e-13
40,3,1.173894901449063e-12
40,4,2.65164332747208e-13
40,5,1.7640761994266977e-12
40,6,9.458750872896948e-13
40,7,9.778026708351792e-13
40,8,NaN
40,9,NaN
40,10,NaN
41,2,2.5711667595594214e-12
41,3,4.204641438822652e-13
41,4,7.111043194916488e-13
41,5,3.0324246529290025e-12
41,6,6.0683840307592e-13
41,7,3.048114507021293e-12
41,8,NaN
41,9,NaN
41,10,NaN
42,2,5.711604284264807e-12
42,3,2.4961254012886007e-12
42,4,8.493265314371823e-13
42,5,4.986167491832976e-13
42,6,1.6499621041850682e-12
42,7,1.1162443027714638e-12
42,8,NaN
42,9,NaN
42,10,NaN
43,2,1.3020741220449036e-13
43,3,5.176622303250469e-13
43,4,5.275617152378062e-13
43,5,1.8805755222124905e-12
43,6,2.6232141679829437e-12
43,7,9.763337490723058e-12
43,8,NaN
43,9,NaN
43,10,NaN
44,2,6.47048251190875e-13
44,3,3.2253857169160804e-12
44,4,2.2673240912112593e-12
44,5,3.3648842467589235e-12
44,6,8.46478751635178e-12
44,7,3.3077623490786567e-12
44,8,NaN
44,9,NaN
44,10,NaN
45,2,7.025014367217989e-13
45,3,1.5609037342717418e-13
45,4,9.4111287901392e-13
45,5,1.0085098232934672e-12
45,6,2.1217593261393452e-12
45,7,9.52919042175112e-12
45,8,NaN
45,9,NaN
45,10,NaN
46,2,7.136703983911182e-13
46,3,1.0614722048036017e-13
46,4,1.5900798280113404e-12
46,5,4.979856140760978e-13
46,6,2.800927944570419e-12
46,7,5.9329273561639705e-12
46,8,NaN
46,9,NaN
46,10,NaN
47,2,4.779942767946604e-13
47,3,1.087597039379552e-12
47,4,1.3696411544686933e-12
47,5,6.741022203974632e-12
47,6,6.865413734977703e-13
47,7,1.303710522253394e-11
47,8,NaN
47,9,NaN
47,10,NaN
48,2,1.3544422616690561e-11
48,3,5.930166537639559e-12
48,4,2.4460663672694917e-12
48,5,4.441206529063257e-12
48,6,3.3514516584409516e-12
48,7,1.604283579798441e-11
48,8,NaN
48,9,NaN
48,10,NaN
49,2,5.065502661933302e-13
49,3,2.4381592562207946e-11
49,4,4.239044222860606e-12
49,5,2.2486267577164574e-12
49,6,4.950076691060105e-12
49,7,3.6094838450827573e-12
49,8,NaN
49,9,NaN
49,10,NaN
50,2,9.022691130350852e-13
50,3,1.6308524516570096e-12
50,4,6.6433291240531674e-12
50,5,7.317865945579934e-12
50,6,1.1048016674058752e-11
50,7,1.7984221954439916e-11
50,8,NaN
50,9,NaN
50,10,NaN
51,2,4.2198340610667124e-14
51,3,3.302865048330277e-12
51,4,6.970528355205268e-13
51,5,1.387930528570462e-12
51,6,3.71744413645708e-12
51,7,1.1440078349729749e-11
51,8,NaN
51,9,NaN
51,10,NaN
52,2,3.323722574950762e-13
52,3,7.077135183721364e-13
52,4,2.4516774968222357e-11
52,5,1.5022829731582756e-11
52,6,6.327375396343536e-12
52,7,2.732030329256093e-12
52,8,NaN
52,9,NaN
52,10,NaN
53,2,1.1176274153263516e-12
53,3,7.635730672519373e-12
53,4,3.059080836426347e-12
53,5,5.4987885925254625e-12
53,6,5.9326422327517665e-12
53,7,1.2133182603639522e-11
53,8,NaN
53,9,NaN
53,10,NaN
54,2,3.594324616475123e-13
54,3,1.6156783022542372e-13
54,4,9.314672794107786e-12
54,5,5.7140609097170325e-12
54,6,1.3114167634964831e-11
54,7,1.8339017209599502e-11
54,8,NaN
54,9,NaN
54,10,NaN
55,2,6.833303688824312e-13
55,3,7.083284243993474e-12
55,4,1.3642873628590766e-11
55,5,1.007864606306864e-11
55,6,7.433030920778012e-12
55,7,NaN
55,8,NaN
55,9,NaN
55,10,NaN
56,2,4.048874698111791e-11
56,3,2.1521283537006347e-12
56,4,2.3890616509228597e-11
56,5,1.0153697250370382e-11
56,6,4.530528256105277e-11
56,7,NaN
56,8,NaN
56,9,NaN
56,10,NaN
57,2,9.975403299831165e-13
57,3,2.381163749689867e-11
57,4,2.494394334967142e-12
57,5,3.7890833644266293e-11
57,6,7.644498868252785e-12
57,7,NaN
57,8,NaN
57,9,NaN
57,10,NaN
58,2,4.580642402637847e-13
58,3,7.095327823990484e-11
58,4,1.8325649038906077e-11
58,5,1.4938519867372734e-11
58,6,1.549648539947825e-11
58,7,NaN
58,8,NaN
58,9,NaN
58,10,NaN
59,2,1.7145773414556884e-13
59,3,1.495596198841021e-11
59,4,4.846304755948009e-12
59,5,1.0036511421550689e-11
59,6,1.768533327941693e-11
59,7,NaN
59,8,NaN
59,9,NaN
59,10,NaN
60,2,3.3485807877673194e-12
60,3,9.323579089357158e-12
60,4,4.622967056305669e-12
60,5,3.5900786810587274e-11
60,6,2.222678717044668e-11
60,7,NaN
60,8,NaN
60,9,NaN
60,10,NaN
61,2,9.352152173313947e-13
61,3,2.260139889019663e-12
61,4,1.1869718396224766e-12
61,5,2.3537107905937365e-11
61,6,7.288055402294334e-12
61,7,NaN
61,8,NaN
61,9,NaN
61,10,NaN
62,2,1.1023612545560524e-10
62,3,1.851806797376467e-11
62,4,2.942381255687671e-11
62,5,3.659508522140607e-11
62,6,8.748928547706102e-11
62,7,NaN
62,8,NaN
62,9,NaN
62,10,NaN
63,2,5.4752217644841195e-12
63,3,9.5816295832862e-12
63,4,1.1881159753535246e-11
63,5,1.8516983170826133e-11
63,6,3.3096540661399104e-11
63,7,NaN
63,8,NaN
63,9,NaN
63,10,NaN
64,2,1.048462270715732e-11
64,3,9.910513674731475e-12
64,4,1.70295486410682e-11
64,5,2.614030612455851e-11
64,6,1.5597480975326407e-11
64,7,NaN
64,8,NaN
64,9,NaN
64,10,NaN
65,2,1.2413724116398392e-11
65,3,4.4102096583712074e-11
65,4,2.838649632649576e-11
65,5,2.8573961622265738e-11
65,6,1.457797432926738e-11
65,7,NaN
65,8,NaN
65,9,NaN
65,10,NaN
66,2,6.142946829469007e-13
66,3,1.4114158630872268e-11
66,4,7.15998155262155e-11
66,5,1.102396949646753e-11
66,6,5.769826117301189e-11
66,7,NaN
66,8,NaN
66,9,NaN
66,10,NaN
67,2,1.6838984564256704e-11
67,3,2.3905006221552864e-11
67,4,2.4736811553731692e-12
67,5,9.475844307140437e-12
67,6,1.6965312145893136e-11
67,7,NaN
67,8,NaN
67,9,NaN
67,10,NaN
68,2,1.390804698973914e-12
68,3,7.214393593324441e-12
68,4,3.17523976121787e-11
68,5,3.3449936813953284e-11
68,6,2.0899079016336014e-11
68,7,NaN
68,8,NaN
68,9,NaN
68,10,NaN
69,2,1.919891419460978e-13
69,3,1.5338682738869166e-11
69,4,1.585234022206675e-11
69,5,8.657848063904416e-12
69,6,6.954594411232869e-12
69,7,NaN
69,8,NaN
69,9,NaN
69,10,NaN
70,2,5.277083349749314e-12
70,3,5.621614358633768e-12
70,4,5.538793617811452e-11
70,5,7.874362296123261e-11
70,6,5.13517552852686e-11
70,7,NaN
70,8,NaN
70,9,NaN
70,10,NaN
71,2,1.1492819529473714e-13
71,3,2.2789217338952482e-12
71,4,1.9545602217234096e-11
71,5,3.4216483579540326e-12
71,6,5.848645498341781e-12
71,7,NaN
71,8,NaN
71,9,NaN
71,10,NaN
72,2,3.5998388583097024e-12
72,3,1.2408363377644254e-11
72,4,3.023103190396842e-12
72,5,9.027206774933357e-11
72,6,6.843792490505079e-12
72,7,NaN
72,8,NaN
72,9,NaN
72,10,NaN
73,2,3.916486017310894e-11
73,3,5.3235728806405265e-11
73,4,1.531257375017963e-11
73,5,9.301976791854292e-12
73,6,2.0478790911453715e-11
73,7,NaN
73,8,NaN
73,9,NaN
73,10,NaN
74,2,4.287329549755063e-12
74,3,9.723354714517753e-11
74,4,2.3735366120043873e-11
74,5,2.670508823660672e-10
74,6,2.7924189502933283e-11
74,7,NaN
74,8,NaN
74,9,NaN
74,10,NaN
75,2,1.3905425599256802e-12
75,3,3.413581182205803e-11
75,4,2.733293975614722e-11
75,5,2.0545257617657958e-10
75,6,4.494148170534921e-11
75,7,NaN
75,8,NaN
75,9,NaN
75,10,NaN
76,2,8.186525810908269e-12
76,3,4.21332087831597e-11
76,4,1.6079043048607195e-11
76,5,7.998909415377863e-12
76,6,3.109584316411374e-11
76,7,NaN
76,8,NaN
76,9,NaN
76,10,NaN
77,2,5.83045456887183e-11
77,3,6.2799291819258405e-12
77,4,2.8457694386845797e-11
77,5,6.309669102925143e-12
77,6,1.0976634902317373e-10
77,7,NaN
77,8,NaN
77,9,NaN
77,10,NaN
78,2,2.4617883118326324e-10
78,3,1.4307120251882462e-10
78,4,3.218436723912822e-11
78,5,1.5804911045176832e-11
78,6,3.9201689627460196e-11
78,7,NaN
78,8,NaN
78,9,NaN
78,10,NaN
79,2,4.849260634650613e-10
79,3,2.8819856156349512e-11
79,4,2.934118477918443e-11
79,5,1.7956149252659148e-10
79,6,1.836685162260573e-11
79,7,NaN
79,8,NaN
79,9,NaN
79,10,NaN
80,2,1.0140460738394508e-10
80,3,9.40112667848477e-11
80,4,8.633053198448444e-11
80,5,1.3125563221928881e-11
80,6,1.107816546696659e-10
80,7,NaN
80,8,NaN
80,9,NaN
80,10,NaN
81,2,1.425297539280369e-13
81,3,3.038237634947746e-11
81,4,6.070735695153537e-11
81,5,7.681810843078154e-11
81,6,6.825179152793999e-11
81,7,NaN
81,8,NaN
81,9,NaN
81,10,NaN
82,2,2.2577765831894592e-11
82,3,4.031374322502473e-11
82,4,1.2860167164474737e-10
82,5,9.550611687087628e-11
82,6,1.4882298804683416e-11
82,7,NaN
82,8,NaN
82,9,NaN
82,10,NaN
83,2,7.681111441675439e-11
83,3,1.0924080448281616e-10
83,4,7.253193527106028e-11
83,5,6.963448899900411e-11
83,6,6.923778971842692e-11
83,7,NaN
83,8,NaN
83,9,NaN
83,10,NaN
84,2,3.642445329710804e-10
84,3,6.862702293191711e-11
84,4,5.041850114305868e-12
84,5,2.828516076150424e-11
84,6,2.0282309832114252e-11
84,7,NaN
84,8,NaN
84,9,NaN
84,10,NaN
85,2,2.9834852648478334e-12
85,3,3.1080441063669345e-12
85,4,1.0629005100928842e-11
85,5,2.6095611768142598e-11
85,6,1.0667146207097235e-10
85,7,NaN
85,8,NaN
85,9,NaN
85,10,NaN
86,2,6.345234419671323e-13
86,3,1.6890480206647506e-11
86,4,3.641105527207197e-11
86,5,1.1185324141021017e-10
86,6,7.947068823468014e-11
86,7,NaN
86,8,NaN
86,9,NaN
86,10,NaN
87,2,1.1266743145224235e-11
87,3,4.258246214336467e-12
87,4,3.401504981339179e-11
87,5,7.535705222923288e-11
87,6,7.683362670394469e-11
87,7,NaN
87,8,NaN
87,9,NaN
87,10,NaN
88,2,3.942925602570269e-11
88,3,4.6175832949301616e-11
88,4,8.926661631321865e-11
88,5,1.5107497809777693e-10
88,6,3.583229302848833e-11
88,7,NaN
88,8,NaN
88,9,NaN
88,10,NaN
89,2,4.862738055018857e-11
89,3,4.8675701665863203e-11
89,4,7.530869928312776e-11
89,5,1.329298148004864e-10
89,6,5.060152407675763e-11
89,7,NaN
89,8,NaN
89,9,NaN
89,10,NaN
90,2,1.9007947930501735e-11
90,3,1.4624402739035058e-12
90,4,3.595073691153392e-11
90,5,1.3362937294420989e-11
90,6,5.6821646816352945e-11
90,7,NaN
90,8,NaN
90,9,NaN
90,10,NaN
91,2,4.085724544892952e-14
91,3,1.442373692594147e-11
91,4,9.563755309084434e-11
91,5,2.720483759197369e-10
91,6,NaN
91,7,NaN
91,8,NaN
91,9,NaN
91,10,NaN
92,2,1.0937008331963411e-10
92,3,1.97572326986401e-11
92,4,2.4939677228255855e-10
92,5,1.864842398140542e-10
92,6,NaN
92,7,NaN
92,8,NaN
92,9,NaN
92,10,NaN
93,2,4.0083352179240445e-12
93,3,1.6544920880397767e-11
93,4,1.6367902427007085e-10
93,5,1.2517046844805851e-10
93,6,NaN
93,7,NaN
93,8,NaN
93,9,NaN
93,10,NaN
94,2,2.105737511451802e-11
94,3,3.134643605678325e-11
94,4,5.165827881536393e-11
94,5,4.5041495760924534e-10
94,6,NaN
94,7,NaN
94,8,NaN
94,9,NaN
94,10,NaN
95,2,6.727739150124836e-12
95,3,4.3813994809095556e-11
95,4,5.6868630696208166e-11
95,5,5.52863087203989e-11
95,6,NaN
95,7,NaN
95,8,NaN
95,9,NaN
95,10,NaN
96,2,6.525791579961591e-12
96,3,1.0982881538374753e-10
96,4,1.6427201249494625e-11
96,5,3.6644989688987036e-10
96,6,NaN
96,7,NaN
96,8,NaN
96,9,NaN
96,10,NaN
97,2,4.924595958767324e-12
97,3,5.1056468442508306e-12
97,4,5.346782409509841e-11
97,5,2.564825042152372e-10
97,6,NaN
97,7,NaN
97,8,NaN
97,9,NaN
97,10,NaN
98,2,7.029486867697816e-11
98,3,3.473066669427299e-11
98,4,2.8955118953276117e-12
98,5,1.0041470949722971e-11
98,6,NaN
98,7,NaN
98,8,NaN
98,9,NaN
98,10,NaN
99,2,1.0719399537841668e-11
99,3,1.1007337988468431e-11
99,4,5.0561598456986104e-11
99,5,1.090481552992644e-11
99,6,NaN
99,7,NaN
99,8,NaN
99,9,NaN
99,10,NaN
100,2,4.737987869253291e-9
100,3,1.6209027964498056e-10
100,4,1.0850437899915183e-10
100,5,1.6570430493839444e-10
100,6,NaN
100,7,NaN
100,8,NaN
100,9,NaN
100,10,NaN
101,2,4.5152284214021856e-11
101,3,1.3105521750096e-10
101,4,9.321469126717401e-11
101,5,9.852936124268391e-10
101,6,NaN
101,7,NaN
101,8,NaN
101,9,NaN
101,10,NaN
102,2,2.3804014288854984e-11
102,3,1.560153795017277e-10
102,4,3.2365737566939745e-11
102,5,8.729777831920572e-11
102,6,NaN
102,7,NaN
102,8,NaN
102,9,NaN
102,10,NaN
103,2,6.044390087045633e-12
103,3,6.145994776216802e-11
103,4,3.131270946967202e-11
103,5,1.6843972789917887e-10
103,6,NaN
103,7,NaN
103,8,NaN
103,9,NaN
103,10,NaN
104,2,4.5612694127135355e-11
104,3,1.3878877971749726e-10
104,4,7.066183721645965e-11
104,5,2.064817885287697e-10
104,6,NaN
104,7,NaN
104,8,NaN
104,9,NaN
104,10,NaN
105,2,4.52925528040149e-11
105,3,5.426985084072967e-10
105,4,1.0730512672483487e-9
105,5,2.2656608417094616e-9
105,6,NaN
105,7,NaN
105,8,NaN
105,9,NaN
105,10,NaN
106,2,5.006692500349314e-13
106,3,7.944105540065382e-11
106,4,3.911898742665674e-10
106,5,2.5956973626175977e-10
106,6,NaN
106,7,NaN
106,8,NaN
106,9,NaN
106,10,NaN
107,2,6.247979005896964e-11
107,3,1.1822088117889222e-10
107,4,6.197388347494598e-11
107,5,2.4307802748435797e-10
107,6,NaN
107,7,NaN
107,8,NaN
107,9,NaN
107,10,NaN
108,2,8.627017623243595e-12
108,3,4.839354716070299e-10
108,4,1.3950115247297182e-10
108,5,1.233524339648531e-10
108,6,NaN
108,7,NaN
108,8,NaN
108,9,NaN
108,10,NaN
109,2,5.208126327311391e-11
109,3,8.159727374739264e-11
109,4,9.279845486984447e-11
109,5,3.9027995568617783e-10
109,6,NaN
109,7,NaN
109,8,NaN
109,9,NaN
109,10,NaN
110,2,1.7574467024293284e-10
110,3,6.5033581633287694e-9
110,4,5.88743750454006e-10
110,5,3.871993611174909e-10
110,6,NaN
110,7,NaN
110,8,NaN
110,9,NaN
110,10,NaN
111,2,1.8526259518722502e-11
111,3,3.83828895055957e-10
111,4,3.489095931524852e-10
111,5,1.5925878415949358e-10
111,6,NaN
111,7,NaN
111,8,NaN
111,9,NaN
111,10,NaN
112,2,1.6719692780747054e-10
112,3,3.8305878431806995e-11
112,4,3.0759979650169395e-10
112,5,8.940568584768447e-11
112,6,NaN
112,7,NaN
112,8,NaN
112,9,NaN
112,10,NaN
113,2,1.8204048599458073e-10
113,3,4.3195537839245174e-10
113,4,3.066105915457184e-10
113,5,9.319506720485822e-10
113,6,NaN
113,7,NaN
113,8,NaN
113,9,NaN
113,10,NaN
114,2,2.6296819563711234e-10
114,3,1.531919412093321e-10
114,4,2.0175344217535985e-9
114,5,3.626316673571114e-10
114,6,NaN
114,7,NaN
114,8,NaN
114,9,NaN
114,10,NaN
115,2,9.832471469687866e-13
115,3,2.635136483395105e-10
115,4,6.711613632157808e-11
115,5,2.865682648644011e-10
115,6,NaN
115,7,NaN
115,8,NaN
115,9,NaN
115,10,NaN
116,2,3.60908934968939e-11
116,3,8.730269932042238e-11
116,4,1.3937173879450301e-11
116,5,3.24816406003638e-10
116,6,NaN
116,7,NaN
116,8,NaN
116,9,NaN
116,10,NaN
117,2,3.049420997046533e-11
117,3,1.7071552545328094e-10
117,4,4.888041924847555e-10
117,5,8.70358480981047e-10
117,6,NaN
117,7,NaN
117,8,NaN
117,9,NaN
117,10,NaN
118,2,2.921473737490215e-11
118,3,2.7222027379339087e-10
118,4,8.153240493783677e-10
118,5,1.3313504640851685e-9
118,6,NaN
118,7,NaN
118,8,NaN
118,9,NaN
118,10,NaN
119,2,1.7057658714252236e-10
119,3,3.3382124878271256e-10
119,4,9.626185190441796e-11
119,5,6.740659973602025e-10
119,6,NaN
119,7,NaN
119,8,NaN
119,9,NaN
119,10,NaN
120,2,1.5299462912416283e-11
120,3,6.058481572008623e-11
120,4,1.0127771885203641e-10
120,5,2.2394287520445973e-10
120,6,NaN
120,7,NaN
120,8,NaN
120,9,NaN
120,10,NaN
121,2,2.81817586836599e-10
121,3,2.3770093637611426e-10
121,4,7.733148129673493e-10
121,5,1.1871430295139873e-9
121,6,NaN
121,7,NaN
121,8,NaN
121,9,NaN
121,10,NaN
122,2,1.2716109542599936e-10
122,3,1.57913870393113e-10
122,4,4.2858286962594226e-10
